;EMILIA-ROMAGNA;FRIULI-VENEZIA GIULIA;MOLISE;LAZIO;CAMPANIA;SARDEGNA;UMBRIA;SICILIA;CALABRIA;BASILICATA;VALLE D'AOSTA;MARCHE;TOSCANA;VENETO;TIMESTAMP;LIGURIA;ABRUZZO;TRENTINO-ALTO ADIGE;PIEMONTE;ITALIA;PUGLIA;LOMBARDIA
12.014;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120051;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.031;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120151;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.047;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120251;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.064;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120351;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.09;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120524;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.107;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120624;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.123;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120724;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120824;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.157;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_120924;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.173;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121024;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.19;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121124;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.207;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121224;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.224;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121325;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.24;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121425;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.257;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121525;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.274;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121625;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.29;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121725;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.307;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121825;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.324;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_121925;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.341;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122026;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.357;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122126;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.374;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122226;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.391;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122326;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.407;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122426;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.424;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122526;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.441;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122626;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.457;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122726;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.474;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122826;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.491;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_122927;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.508;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123027;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.524;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123127;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.541;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123227;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.558;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123327;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.574;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123427;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.591;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123527;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.607;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123627;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.624;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123728;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.641;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123828;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.658;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_123928;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.674;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124028;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.691;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124128;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.708;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124228;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.725;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124329;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.741;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124429;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.758;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124529;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.775;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124629;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.791;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124729;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.808;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124829;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.825;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_124929;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.841;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125029;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.861;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125140;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.878;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125241;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125341;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.911;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125441;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.928;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125541;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.945;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125641;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.961;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125741;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.978;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125842;0.0;0.0;0.0;0.0;0.0;0.0;0.0
12.995;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_125942;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.012;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130042;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.028;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130142;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.045;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130242;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.062;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130342;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.078;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130442;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.095;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130543;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.112;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130643;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.129;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130743;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130843;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.162;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_130943;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.179;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_131043;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.195;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_131143;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.212;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_131243;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.336;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_132009;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.352;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_132109;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_132209;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.386;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_132309;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.402;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_132409;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.419;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_132509;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.494;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_132940;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.561;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_133340;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.628;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_133741;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.695;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_134141;0.0;0.0;0.0;0.0;0.0;0.0;0.0
13.761;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;180304_134541;0.0;0.0;0.0;0.0;0.0;0.0;0.0
19.03;0.0;0.0;0.0;63.1;55.03;50.97;66.51;47.26;42.83;50.08;0.0;70.2;0.0;61.09;180304_190148;0.0;61.32;60.32;63.19;51.0;52.7;60.8
19.056;67.39;60.47;47.21;55.47;55.37;53.55;65.8;46.13;46.09;51.1;0.0;64.93;0.0;64.8;180304_190323;61.2;61.94;62.37;62.8;53.46;53.31;61.95
19.073;65.41;61.58;52.22;56.73;54.64;51.59;64.61;45.2;46.28;51.87;0.0;66.03;65.16;66.35;180304_190423;63.7;62.02;62.82;62.85;56.91;54.17;64.31
19.09;65.41;61.58;52.22;56.73;54.64;51.59;64.61;45.2;46.28;51.87;0.0;66.03;65.16;66.35;180304_190523;63.7;62.02;62.82;62.85;56.91;54.17;64.31
19.106;65.65;61.84;54.93;56.8;54.08;51.22;63.77;44.33;46.93;52.5;0.0;65.59;60.93;65.94;180304_190623;62.77;61.53;61.25;63.35;57.38;54.47;64.21
19.123;65.3;63.03;56.02;57.02;54.7;51.37;64.23;48.57;47.14;52.31;0.0;64.92;63.48;65.6;180304_190723;62.42;61.61;60.94;63.32;57.53;53.32;63.74
19.14;65.82;62.36;58.21;56.13;54.58;50.89;64.23;47.46;47.07;52.26;0.0;63.78;62.85;65.86;180304_190823;62.14;61.45;60.63;63.29;57.2;51.74;63.33
19.159;63.58;62.03;58.01;56.52;54.72;51.02;63.4;47.56;47.25;52.28;0.0;63.81;63.56;65.55;180304_190934;62.49;61.58;61.21;63.34;57.34;51.85;63.35
19.178;64.02;62.46;57.42;56.8;54.65;50.68;63.4;47.04;47.57;52.38;0.0;64.0;64.14;65.49;180304_191039;62.61;61.61;61.25;60.25;57.67;52.42;63.75
19.194;63.98;62.35;57.3;56.53;54.04;50.7;62.98;47.1;47.58;52.36;0.0;63.99;64.05;65.08;180304_191140;62.28;61.35;61.26;60.54;57.76;52.22;63.63
19.215;64.22;62.38;57.15;56.57;53.98;51.15;63.74;47.24;47.74;52.37;0.0;63.87;63.79;64.8;180304_191255;61.29;61.24;61.68;60.72;57.69;52.35;63.46
19.232;64.4;62.61;56.91;57.07;54.01;51.53;64.05;47.34;48.12;52.53;0.0;63.64;64.43;64.8;180304_191355;61.15;61.36;61.94;60.89;57.82;52.39;63.32
19.249;64.84;62.55;56.9;56.75;54.19;51.52;64.32;46.66;48.16;52.35;0.0;63.64;64.45;64.83;180304_191455;61.22;61.34;61.8;60.94;57.77;52.73;63.51
19.266;64.89;62.74;57.27;55.98;54.24;51.78;64.29;46.52;48.42;52.35;0.0;63.69;64.46;64.88;180304_191556;61.37;61.28;61.26;61.08;57.9;53.04;63.35
19.282;64.79;62.94;57.26;56.12;54.26;51.87;64.7;46.19;48.35;52.43;0.0;63.6;64.38;64.98;180304_191656;61.15;61.29;61.42;61.22;58.0;53.23;63.34
19.299;64.79;62.94;57.26;56.12;54.26;51.87;64.7;46.19;48.35;52.43;0.0;63.6;64.38;64.98;180304_191756;61.15;61.29;61.42;61.22;58.0;53.23;63.34
19.316;65.43;63.05;57.32;56.06;54.25;51.99;64.77;46.01;48.48;52.32;0.0;63.05;64.24;65.07;180304_191856;61.26;61.22;61.13;61.29;58.05;53.48;63.38
19.332;65.82;63.18;57.03;56.04;54.28;51.86;64.83;45.95;48.56;52.33;0.0;63.01;64.19;65.18;180304_191956;61.26;61.24;61.17;61.4;58.23;53.55;63.26
19.349;65.74;63.09;56.73;56.15;53.82;51.86;64.75;45.81;48.75;52.22;0.0;63.02;64.05;64.82;180304_192056;61.02;61.21;61.57;61.54;58.19;53.61;63.32
19.366;66.15;63.08;56.71;56.19;53.82;52.08;64.87;46.0;48.81;53.59;0.0;62.93;63.92;64.83;180304_192156;61.17;61.2;61.53;61.64;58.42;53.63;63.39
19.383;66.15;63.08;56.71;56.19;53.82;52.08;64.87;46.0;48.81;53.59;0.0;62.93;63.92;64.83;180304_192257;61.17;61.2;61.53;61.64;58.42;53.63;63.39
19.399;66.36;63.34;56.81;56.1;54.11;52.13;64.7;46.29;48.87;53.15;0.0;62.89;64.17;64.6;180304_192357;61.25;61.29;61.44;61.7;58.61;53.67;63.29
19.416;66.22;63.35;56.75;55.87;54.05;52.16;64.95;46.41;49.21;53.15;0.0;62.88;64.12;64.57;180304_192457;61.31;61.44;61.36;61.8;58.69;53.73;63.3
19.433;66.2;63.25;56.78;55.98;53.95;52.1;65.04;46.45;49.28;53.12;0.0;62.87;63.91;64.54;180304_192557;61.41;61.51;61.35;61.86;58.72;53.69;63.39
19.449;66.22;63.26;56.9;56.05;53.98;52.15;64.98;46.45;49.29;53.12;0.0;62.87;63.92;64.56;180304_192657;61.42;61.55;61.14;61.92;58.76;53.62;63.4
19.466;66.25;63.25;56.87;56.15;53.6;52.12;64.98;46.61;49.29;53.12;0.0;62.86;63.83;64.62;180304_192757;61.48;61.54;60.96;61.93;58.78;53.64;63.41
19.482;66.15;63.25;56.69;56.21;53.56;52.42;64.5;46.69;49.41;53.12;0.0;62.78;63.83;64.58;180304_192857;61.42;61.38;60.83;61.95;58.78;53.75;63.39
19.499;66.14;63.24;56.69;55.96;53.49;52.42;64.85;46.59;49.39;53.12;0.0;62.78;63.85;64.44;180304_192958;61.29;61.46;60.82;61.97;58.81;53.73;63.37
19.517;66.14;63.27;56.69;55.63;53.49;52.43;64.74;46.56;49.38;53.12;59.01;62.78;63.8;64.45;180304_193103;61.3;61.41;60.84;62.02;58.77;53.48;63.29
19.534;66.11;63.27;56.82;55.61;53.43;52.45;64.74;46.57;49.48;53.12;59.01;62.73;63.8;64.48;180304_193204;61.3;61.44;60.82;62.03;58.77;53.41;63.31
19.551;66.11;63.27;56.82;55.61;53.43;52.45;64.74;46.57;49.48;53.12;59.01;62.73;63.8;64.48;180304_193304;61.3;61.44;60.82;62.03;58.77;53.41;63.31
19.568;66.04;63.27;56.77;55.51;53.38;52.42;64.85;46.55;49.49;53.12;59.01;62.73;63.69;64.49;180304_193404;61.31;61.37;60.41;62.04;58.85;53.35;63.26
19.584;66.21;63.24;57.06;55.6;53.48;52.4;64.77;46.8;49.48;53.12;59.01;62.71;63.7;64.53;180304_193504;61.3;61.43;60.4;62.01;58.75;53.43;63.31
19.601;66.21;63.23;57.06;55.51;52.32;52.4;64.86;46.88;49.45;53.12;59.01;62.6;63.7;64.47;180304_193604;61.27;61.41;60.39;61.93;58.54;53.72;63.31
19.618;66.21;63.23;57.06;55.48;52.33;52.4;64.86;46.87;49.5;53.12;59.01;62.6;63.68;64.46;180304_193705;61.27;61.41;60.39;61.94;58.53;53.73;63.33
19.635;66.22;63.23;57.06;55.48;52.41;52.43;64.86;47.09;49.5;53.12;59.01;62.61;63.66;64.47;180304_193805;61.27;61.42;60.39;61.95;58.54;53.74;63.29
19.651;66.22;63.23;57.05;55.49;52.42;52.43;64.86;47.04;49.47;53.12;59.01;62.6;63.66;64.48;180304_193905;61.27;61.41;60.39;61.86;58.53;53.74;63.33
19.668;66.23;63.23;57.1;55.36;52.43;52.42;64.86;47.07;49.48;53.12;59.01;62.49;63.65;64.51;180304_194005;61.19;61.41;60.39;61.86;58.56;53.64;63.29
19.685;66.23;63.29;57.05;55.28;52.43;52.42;64.86;47.06;49.47;53.12;59.01;62.33;63.65;64.52;180304_194106;61.19;61.41;60.39;61.86;58.55;53.64;63.28
19.702;66.23;63.29;57.05;55.15;52.4;52.42;64.86;46.99;49.47;53.12;59.01;62.32;63.65;64.54;180304_194206;61.19;61.41;60.39;61.87;58.51;53.63;63.28
19.718;66.12;63.29;57.05;55.0;52.4;52.42;64.86;46.98;49.47;53.12;59.01;62.22;63.93;64.54;180304_194306;61.19;61.32;60.39;61.88;58.57;53.63;63.18
19.735;66.12;63.29;57.09;54.95;52.4;52.44;64.86;46.99;49.47;53.12;59.01;62.22;63.93;64.54;180304_194406;61.19;61.32;60.39;61.88;58.54;53.63;63.16
19.768;66.12;62.49;57.06;54.95;52.38;52.43;64.86;46.98;49.48;53.12;59.01;62.22;63.88;64.54;180304_194606;61.19;61.33;60.4;61.88;58.54;53.63;63.2
19.941;65.97;62.46;56.56;54.58;52.44;52.41;64.86;47.06;49.53;53.12;59.01;62.25;63.88;64.56;180304_195626;61.19;61.32;60.57;61.88;58.45;53.67;63.19
19.957;65.97;62.46;56.56;54.52;52.45;52.41;64.86;47.06;49.53;53.12;59.01;62.25;63.88;64.56;180304_195727;61.19;61.37;60.57;61.88;58.46;53.67;63.12
19.974;65.98;62.46;56.56;54.6;52.45;52.41;64.86;47.06;49.53;53.12;59.01;62.22;63.88;64.56;180304_195827;61.19;61.29;60.57;61.88;58.47;53.67;62.49
19.991;65.98;62.46;56.55;54.6;52.53;52.41;64.86;47.06;49.53;53.12;59.01;62.22;63.88;64.55;180304_195927;61.19;61.29;60.57;61.88;58.48;53.68;62.41
20.008;65.98;62.46;56.55;54.84;52.53;52.41;64.86;47.06;49.53;53.12;59.01;62.22;63.88;64.55;180304_200027;61.04;61.29;60.57;61.88;58.52;53.68;62.41
20.024;65.98;62.46;56.53;54.89;52.53;52.41;64.86;47.06;49.53;53.12;59.01;62.22;63.88;64.56;180304_200127;61.04;61.29;60.57;61.88;58.52;53.68;62.41
20.041;65.98;62.46;56.48;54.89;52.53;52.41;64.86;47.06;49.53;53.12;59.01;62.22;63.88;64.56;180304_200227;61.04;61.29;60.57;61.88;58.51;53.68;62.41
20.058;65.98;62.46;56.48;54.89;52.53;52.41;64.86;47.06;49.53;53.12;59.01;62.22;63.88;64.56;180304_200327;61.04;61.29;60.57;61.88;58.52;53.68;62.41
20.074;65.98;62.46;56.5;54.89;52.53;52.41;64.86;47.06;49.53;53.12;59.01;62.22;63.88;64.56;180304_200427;61.04;61.29;60.57;61.88;58.52;53.68;62.41
20.091;65.98;62.46;56.49;54.89;52.53;52.41;64.86;47.06;49.53;53.12;59.01;62.22;63.88;64.56;180304_200528;61.04;61.29;60.57;61.88;58.52;53.68;62.41
20.217;65.99;62.46;56.5;54.73;52.56;52.34;64.86;47.06;49.55;53.12;59.01;62.22;63.88;64.59;180304_201301;61.04;61.29;60.57;61.88;58.52;53.68;62.32
20.841;65.99;62.45;56.46;55.47;52.59;52.49;64.86;47.06;49.55;53.12;59.01;62.22;63.88;64.61;180304_205027;61.04;61.29;60.57;61.88;58.42;53.68;62.29
22.995;65.99;62.45;56.46;55.47;52.59;52.49;64.86;47.06;49.55;53.12;59.01;62.22;63.88;64.61;180304_225942;61.04;61.29;60.57;61.88;58.42;53.68;62.29
23.012;65.99;62.45;56.46;55.47;52.59;52.49;64.86;47.06;49.55;53.12;59.01;62.22;63.88;64.61;180304_230043;61.04;61.29;60.57;61.88;58.42;53.68;62.29
23.029;65.99;62.45;56.46;55.47;52.59;52.49;64.86;47.06;49.55;53.12;59.01;62.22;63.88;64.61;180304_230143;61.04;61.29;60.57;61.88;58.42;53.68;62.29
